id,name,balance,change
1,Bio-tecniks,30000,0
2,vrRNA,32000,2000
3,Radioactive,30000,0
4,Pentamer,30000,0
5,Fire Devils,30000,0
6,Fungus Amongus,20000,0
7,DNAwesomes,32000,2000
8,Bio Warriors,20000,0
9,BIOHAZARDS,30000,0
10,MINOTAURS,30000,0
11,Mightychondrias,30000,0
12,Tech Squad,30000,0
13,BiODYNESTY,33000,3000
14,Cassiopeia,20000,0
15,Imperium,20000,0
16,eNovators,20000,0
17,Alphasunplugged,30000,0
18,Finches,20000,0
19,Dominant Genes,30000,0
20,Financial Wizards,20000,0
21,Prodigium,20000,0
22,InCinc.co,21000,1000
23,Valkyrie,30000,0
24,Cellix,30000,0
25,InoVIT!,20000,0
26,Biota,30000,0
27,Bio-Aficionados,31000,1000
28,The Blue Team,33000,3000
29,Kickstarters,20000,0
30,BioTiem,20000,0
31,Cavalry,20000,0
32,Clone Pack,20000,0
33,Genesis,30000,0
34,Chimera,30000,0
35,TEAM 7,20000,0
36,Lab Rats,30000,0
37,Buffets,20000,0
38,XERO 616,20000,0
